Thẻ,Loại,Cấp,Thành phần,Giống Kanji,Onyomi,Kunyomi,Nanori,Đọc Chính,Đọc,Nghĩa Chính,Nghĩa Phụ
下りる,vocab,4,下,N/A,N/A,N/A,N/A,おりる,おりる,Đi Xuống,Xuống
下り坂,vocab,20,"下,坂",N/A,N/A,N/A,N/A,くだりざか,くだりざか,Dốc Xuống,
下ろす,vocab,4,下,N/A,N/A,N/A,N/A,おろす,おろす,Lấy Xuống,Hạ Xuống
下品,vocab,14,"下,品",N/A,N/A,N/A,N/A,げひん,げひん,Khiếm Nhã,
下宿,vocab,48,"下,宿",N/A,N/A,N/A,N/A,げしゅく,げしゅく,Nhà Trọ,Trọ
下心,vocab,55,"下,心",N/A,N/A,N/A,N/A,したごころ,したごころ,Ý Đồ,Ý Đồ Riêng
下手,vocab,3,"下,手",N/A,N/A,N/A,N/A,へた,へた,Kém,Tệ
下旬,vocab,37,"下,旬",N/A,N/A,N/A,N/A,げじゅん,げじゅん,Gejun,Mười Ngày Cuối Tháng
下町,vocab,10,"下,町",N/A,N/A,N/A,N/A,したまち,したまち,Shitamachi,
下痢,vocab,67,"下,痢",N/A,N/A,N/A,N/A,げり,げり,Tiêu Chảy,
下着,vocab,18,"下,着",N/A,N/A,N/A,N/A,したぎ,したぎ,Đồ Lót,
下駄,vocab,46,"下,駄",N/A,N/A,N/A,N/A,げた,げた,Geta,Guốc Gỗ
不便,vocab,18,"不,便",N/A,N/A,N/A,N/A,ふべん,ふべん,Bất Tiện,
不倫,vocab,57,"不,倫",N/A,N/A,N/A,N/A,ふりん,ふりん,Ngoại Tình,
不可欠,vocab,10,"不,可,欠",N/A,N/A,N/A,N/A,ふかけつ,ふかけつ,Không Thể Thiếu,
不吉,vocab,6,"不,吉",N/A,N/A,N/A,N/A,ふきつ,ふきつ,Xui Xẻo,
不味い,vocab,16,"不,味",N/A,N/A,N/A,N/A,まずい,まずい,Tệ,
不器用,vocab,15,"不,器,用",N/A,N/A,N/A,N/A,ぶきよう,ぶきよう,Lúng Túng,
不孝,vocab,42,"不,孝",N/A,N/A,N/A,N/A,ふこう,ふこう,Bất Hiếu,
不安,vocab,6,"不,安",N/A,N/A,N/A,N/A,ふあん,ふあん,Bất An,
不審,vocab,69,"不,審",N/A,N/A,N/A,N/A,ふしん,ふしん,Đáng Nghi,
不平等,vocab,37,"不,平,等",N/A,N/A,N/A,N/A,ふびょうどう,ふびょうどう,Bất Bình Đẳng,
不幸,vocab,15,"不,幸",N/A,N/A,N/A,N/A,ふこう,ふこう,Bất Hạnh,
不思議,vocab,39,"不,思,議",N/A,N/A,N/A,N/A,ふしぎ,ふしぎ,Kỳ Lạ,
不慣れ,vocab,26,"不,慣",N/A,N/A,N/A,N/A,ふなれ,ふなれ,Chưa Quen,
不振,vocab,56,"不,振",N/A,N/A,N/A,N/A,ふしん,ふしん,Không Tốt,"Không Trôi Chảy, Trì Trệ"
不明,vocab,16,"不,明",N/A,N/A,N/A,N/A,ふめい,ふめい,Không Rõ,"Bất Minh, Không Xác Định"
不正,vocab,8,"不,正",N/A,N/A,N/A,N/A,ふせい,ふせい,Bất Chính,
不正解,vocab,9,"不,正,解",N/A,N/A,N/A,N/A,ふせいかい,ふせいかい,Sai,
不気味,vocab,32,"不,気,味",N/A,N/A,N/A,N/A,ぶきみ,ぶきみ,Ghê Rợn,
不況,vocab,38,"不,況",N/A,N/A,N/A,N/A,ふきょう,ふきょう,KHTK,Khủng Hoảng Kinh Tế
不満,vocab,34,"不,満",N/A,N/A,N/A,N/A,ふまん,ふまん,Bất Mãn,
不潔,vocab,59,"不,潔",N/A,N/A,N/A,N/A,ふけつ,ふけつ,Dơ Bẩn,
不穏,vocab,70,"不,穏",N/A,N/A,N/A,N/A,ふおん,ふおん,Bất Ổn,
不純,vocab,55,"不,純",N/A,N/A,N/A,N/A,ふじゅん,ふじゅん,Không Thuần Túy,Không Trong Sáng
不足,vocab,7,"不,足",N/A,N/A,N/A,N/A,ふそく,ふそく,Thiếu,
与えられる,vocab,26,与,N/A,N/A,N/A,N/A,あたえられる,あたえられる,Nhận,
与える,vocab,26,与,N/A,N/A,N/A,N/A,あたえる,あたえる,Cho,
与党,vocab,55,"与,党",N/A,N/A,N/A,N/A,よとう,よとう,Đảng Cầm Quyền,
世の中,vocab,10,"世,中",N/A,N/A,N/A,N/A,よのなか,よのなか,Xã Hội,Thế Giới
世界,vocab,10,"世,界",N/A,N/A,N/A,N/A,せかい,せかい,Thế Giới,
世界中,vocab,10,"世,界,中",N/A,N/A,N/A,N/A,せかいじゅう,せかいじゅう,Quanh Thế Giới,
世紀,vocab,52,"世,紀",N/A,N/A,N/A,N/A,せいき,せいき,Thế Kỷ,
世話,vocab,10,"世,話",N/A,N/A,N/A,N/A,せわ,せわ,Chăm Sóc,Quan Tâm
丘,vocab,34,丘,N/A,N/A,N/A,N/A,おか,おか,Đồi,
両側,vocab,58,"両,側",N/A,N/A,N/A,N/A,りょうがわ,りょうがわ,Hai Bên,
両国,vocab,20,"両,国",N/A,N/A,N/A,N/A,りょうこく,りょうこく,Hai Nước,
両思い,vocab,20,"両,思",N/A,N/A,N/A,N/A,りょうおもい,りょうおもい,Tình Song Phương,
両手,vocab,20,"両,手",N/A,N/A,N/A,N/A,りょうて,りょうて,Hai Tay,
両方,vocab,58,"両,方",N/A,N/A,N/A,N/A,りょうほう,りょうほう,Cả Hai,Hai Bên
両替,vocab,39,"両,替",N/A,N/A,N/A,N/A,りょうがえ,りょうがえ,Đổi Tiền,
両親,vocab,20,"両,親",N/A,N/A,N/A,N/A,りょうしん,りょうしん,Bố Mẹ,
並,vocab,34,並,N/A,N/A,N/A,N/A,なみ,なみ,Bình Thường,
並ぶ,vocab,34,並,N/A,N/A,N/A,N/A,ならぶ,ならぶ,Xếp Hàng,
並べる,vocab,34,並,N/A,N/A,N/A,N/A,ならべる,ならべる,Xếp,
並木,vocab,34,"並,木",N/A,N/A,N/A,N/A,なみき,なみき,Hàng Cây,
中,vocab,1,中,N/A,N/A,N/A,N/A,なか,なか,Trong,Giữa
中古,vocab,1,"中,古",N/A,N/A,N/A,N/A,ちゅうこ,ちゅうこ,Đồ Cũ,
中吉,vocab,6,"中,吉",N/A,N/A,N/A,N/A,ちゅうきち,ちゅうきち,Trung Cát,
中国,vocab,12,"中,国",N/A,N/A,N/A,N/A,ちゅうごく,ちゅうごく,Trung Quốc,
中央,vocab,8,"中,央",N/A,N/A,N/A,N/A,ちゅうおう,ちゅうおう,Trung Tâm,
中学,vocab,6,"中,学",N/A,N/A,N/A,N/A,ちゅうがく,ちゅうがく,Trung Học,
中年,vocab,8,"中,年",N/A,N/A,N/A,N/A,ちゅうねん,ちゅうねん,Trung Niên,
中心,vocab,5,"中,心",N/A,N/A,N/A,N/A,ちゅうしん,ちゅうしん,Trung Tâm,
中指,vocab,18,"中,指",N/A,N/A,N/A,N/A,なかゆび,なかゆび,Ngón Giữa,
中旬,vocab,37,"中,旬",N/A,N/A,N/A,N/A,ちゅうじゅん,ちゅうじゅん,Chuujun,Mười Ngày Giữa Tháng
中核,vocab,39,"中,核",N/A,N/A,N/A,N/A,ちゅうかく,ちゅうかく,Lõi,Cốt Lõi
中止,vocab,5,"中,止",N/A,N/A,N/A,N/A,ちゅうし,ちゅうし,Ngưng,Tạm Dừng
中毒,vocab,36,"中,毒",N/A,N/A,N/A,N/A,ちゅうどく,ちゅうどく,Nghiện,Trúng Độc
中火,vocab,11,"中,火",N/A,N/A,N/A,N/A,ちゅうび,ちゅうび,Lửa Vừa,
中華,vocab,49,"中,華",N/A,N/A,N/A,N/A,ちゅうか,ちゅうか,Trung Hoa,Ẩm Thực Trung Hoa
中身,vocab,9,"中,身",N/A,N/A,N/A,N/A,なかみ,なかみ,Đồ Bên Trong,Nhân
中途,vocab,55,"中,途",N/A,N/A,N/A,N/A,ちゅうと,ちゅうと,Dở Dang,Giữa Chừng
串揚げ,vocab,55,"串,揚",N/A,N/A,N/A,N/A,くしあげ,くしあげ,Kushiage,
串焼き,vocab,16,"串,焼",N/A,N/A,N/A,N/A,くしやき,くしやき,Kushiyaki,Xiên Nướng
丸,vocab,3,丸,N/A,N/A,N/A,N/A,まる,まる,Hình Tròn,Tròn
丸々,vocab,3,"丸,々",N/A,N/A,N/A,N/A,まるまる,まるまる,Tròn Tròn,
丸い,vocab,3,丸,N/A,N/A,N/A,N/A,まるい,まるい,Tròn,
主に,vocab,4,主,N/A,N/A,N/A,N/A,おもに,おもに,Chủ Yếu,
主人,vocab,4,"主,人",N/A,N/A,N/A,N/A,しゅじん,しゅじん,Chủ Nhân,
主人公,vocab,5,"主,人,公",N/A,N/A,N/A,N/A,しゅじんこう,しゅじんこう,Nhân Vật Chính,
主催,vocab,52,"主,催",N/A,N/A,N/A,N/A,しゅさい,しゅさい,Tổ Chức,Tài Trợ
主婦,vocab,36,"主,婦",N/A,N/A,N/A,N/A,しゅふ,しゅふ,Nội Trợ,
主役,vocab,38,"主,役",N/A,N/A,N/A,N/A,しゅやく,しゅやく,Vai Chính,Chủ Đạo
主義,vocab,29,"主,義",N/A,N/A,N/A,N/A,しゅぎ,しゅぎ,Chủ Nghĩa,
主観,vocab,40,"主,観",N/A,N/A,N/A,N/A,しゅかん,しゅかん,Chủ Quan,
丼,vocab,34,丼,N/A,N/A,N/A,N/A,どんぶり,どんぶり,Donburi,
久しい,vocab,28,久,N/A,N/A,N/A,N/A,ひさしい,ひさしい,Lâu Rồi,Đã Lâu
久しぶり,vocab,28,久,N/A,N/A,N/A,N/A,ひさしぶり,ひさしぶり,Lâu Rồi,Đã Lâu
乏しい,vocab,33,乏,N/A,N/A,N/A,N/A,とぼしい,とぼしい,Thiếu,Nghèo Nàn
乗せる,vocab,27,乗,N/A,N/A,N/A,N/A,のせる,のせる,Đặt Lên,"Cho Lên, Chở"
乗り口,vocab,27,"乗,口",N/A,N/A,N/A,N/A,のりぐち,のりぐち,Cửa Lên,
乗り場,vocab,27,"乗,場",N/A,N/A,N/A,N/A,のりば,のりば,Bến Xe,
乗り換える,vocab,49,"乗,換",N/A,N/A,N/A,N/A,のりかえる,のりかえる,Đổi Tuyến,
乗り物,vocab,27,"乗,物",N/A,N/A,N/A,N/A,のりもの,のりもの,Phương Tiện,Phương Tiện Đi Lại
乗る,vocab,27,乗,N/A,N/A,N/A,N/A,のる,のる,Ngồi Lên,"Lên, Cưỡi"
乗客,vocab,27,"乗,客",N/A,N/A,N/A,N/A,じょうきゃく,じょうきゃく,Hành Khách,
乙女,vocab,10,"乙,女",N/A,N/A,N/A,N/A,おとめ,おとめ,Cô Gái,
乙女座,vocab,10,"乙,女,座",N/A,N/A,N/A,N/A,おとめざ,おとめざ,Xử Nữ,
九,vocab,1,九,N/A,N/A,N/A,N/A,きゅう,"きゅう, く",Chín,
九つ,vocab,1,九,N/A,N/A,N/A,N/A,ここのつ,ここのつ,Chín Cái,
九九,vocab,1,九,N/A,N/A,N/A,N/A,くく,くく,Bảng Cửu Chương,
九十,vocab,1,"九,十",N/A,N/A,N/A,N/A,きゅうじゅう,きゅうじゅう,Chín Mươi,
九尾の狐,vocab,33,"九,尾,狐",N/A,N/A,N/A,N/A,きゅうびのきつね,きゅうびのきつね,Cáo Chín Đuôi,Cửu Vĩ Hồ
九州,vocab,35,"九,州",N/A,N/A,N/A,N/A,きゅうしゅう,きゅうしゅう,Kyuushuu,
九日,vocab,2,"九,日",N/A,N/A,N/A,N/A,ここのか,ここのか,Chín Ngày,Ngày Thứ Chín
九月,vocab,3,"九,月",N/A,N/A,N/A,N/A,くがつ,くがつ,Tháng Chín,
乱す,vocab,39,乱,N/A,N/A,N/A,N/A,みだす,みだす,Xáo Trộn,Làm Rối Bời
乱れる,vocab,39,乱,N/A,N/A,N/A,N/A,みだれる,みだれる,Bị Xáo Trộn,Rối Bời
乱暴,vocab,44,"乱,暴",N/A,N/A,N/A,N/A,らんぼう,らんぼう,Thô Lỗ,"Quấy Rối, Bạo Loạn"
乱用,vocab,39,"乱,用",N/A,N/A,N/A,N/A,らんよう,らんよう,Lợi Dụng,
乳,vocab,39,乳,N/A,N/A,N/A,N/A,ちち,ちち,Sữa,Vú
乳児,vocab,39,"乳,児",N/A,N/A,N/A,N/A,にゅうじ,にゅうじ,Trẻ Sơ Sinh,
乳首,vocab,39,"乳,首",N/A,N/A,N/A,N/A,ちくび,ちくび,Nhũ Hoa,Núm Vú
乾かす,vocab,18,乾,N/A,N/A,N/A,N/A,かわかす,かわかす,Làm Khô,
乾く,vocab,18,乾,N/A,N/A,N/A,N/A,かわく,かわく,Khô,
乾季,vocab,18,"乾,季",N/A,N/A,N/A,N/A,かんき,かんき,Mùa Khô,
乾杯,vocab,18,"乾,杯",N/A,N/A,N/A,N/A,かんぱい,かんぱい,Kanpai,Cạn Ly
乾燥,vocab,70,"乾,燥",N/A,N/A,N/A,N/A,かんそう,かんそう,Khô,
亀,vocab,4,亀,N/A,N/A,N/A,N/A,かめ,かめ,Rùa,
亀仙人,vocab,4,"亀,仙,人",N/A,N/A,N/A,N/A,かめせんにん,かめせんにん,Kamesennin,
了解,vocab,9,"了,解",N/A,N/A,N/A,N/A,りょうかい,りょうかい,Hiểu,Nắm Rõ
予め,vocab,11,予,N/A,N/A,N/A,N/A,あらかじめ,あらかじめ,Trước,
予告,vocab,10,"予,告",N/A,N/A,N/A,N/A,よこく,よこく,Báo Trước,
予報,vocab,21,"予,報",N/A,N/A,N/A,N/A,よほう,よほう,Dự Báo,
予定,vocab,10,"予,定",N/A,N/A,N/A,N/A,よてい,よてい,Dự Định,
予想,vocab,30,"予,想",N/A,N/A,N/A,N/A,よそう,よそう,Dự Đoán,
予測,vocab,60,"予,測",N/A,N/A,N/A,N/A,よそく,よそく,Dự Đoán,Ước Lượng
予算,vocab,25,"予,算",N/A,N/A,N/A,N/A,よさん,よさん,Dự Toán,Ngân Sách
予約,vocab,24,"予,約",N/A,N/A,N/A,N/A,よやく,よやく,Đặt Trước,
予言,vocab,10,"予,言",N/A,N/A,N/A,N/A,よげん,よげん,Tiên Đoán,Tiên Tri
予防,vocab,13,"予,防",N/A,N/A,N/A,N/A,よぼう,よぼう,Phòng Tránh,
争う,vocab,20,争,N/A,N/A,N/A,N/A,あらそう,あらそう,Tranh,Tranh Giành
争奪,vocab,61,"争,奪",N/A,N/A,N/A,N/A,そうだつ,そうだつ,Tranh Giành,
事,vocab,10,事,N/A,N/A,N/A,N/A,こと,こと,Việc,
事件,vocab,23,"事,件",N/A,N/A,N/A,N/A,じけん,じけん,Vụ Án,Sự Kiện
事例,vocab,43,"事,例",N/A,N/A,N/A,N/A,じれい,じれい,Tiền Lệ,Ví Dụ
事務,vocab,32,"事,務",N/A,N/A,N/A,N/A,じむ,じむ,Jimu,Công Việc Văn Phòng
事実,vocab,10,"事,実",N/A,N/A,N/A,N/A,じじつ,じじつ,Sự Thật,
事情,vocab,20,"事,情",N/A,N/A,N/A,N/A,じじょう,じじょう,Sự Tình,Tình Hình
事態,vocab,38,"事,態",N/A,N/A,N/A,N/A,じたい,じたい,Tình Hình,
事故,vocab,52,"事,故",N/A,N/A,N/A,N/A,じこ,じこ,Sự Cố,Tai Nạn
事項,vocab,65,"事,項",N/A,N/A,N/A,N/A,じこう,じこう,Đầu Mục,Mục
二,vocab,1,二,N/A,N/A,N/A,N/A,に,に,Hai,
二つ,vocab,1,二,N/A,N/A,N/A,N/A,ふたつ,ふたつ,Hai Cái,
二人,vocab,1,"二,人",N/A,N/A,N/A,N/A,ふたり,ふたり,Hai Người,
二十歳,vocab,23,"二,十,歳",N/A,N/A,N/A,N/A,はたち,はたち,Hai Mươi Tuổi,
二度と,vocab,12,"二,度",N/A,N/A,N/A,N/A,にどと,にどと,Nidoto,
二日,vocab,2,"二,日",N/A,N/A,N/A,N/A,ふつか,ふつか,Hai Ngày,Ngày Thứ Hai
二日酔い,vocab,61,"二,日,酔",N/A,N/A,N/A,N/A,ふつかよい,ふつかよい,Say Nguội,Say Ngày Hai
二輪車,vocab,41,"二,輪,車",N/A,N/A,N/A,N/A,にりんしゃ,にりんしゃ,Xe Hai Bánh,
五,vocab,2,五,N/A,N/A,N/A,N/A,ご,ご,Năm,
五つ,vocab,2,五,N/A,N/A,N/A,N/A,いつつ,いつつ,Năm Cái,
五円,vocab,2,"五,円",N/A,N/A,N/A,N/A,ごえん,ごえん,Năm Yên,
五日,vocab,2,"五,日",N/A,N/A,N/A,N/A,いつか,いつか,Năm Ngày,Ngày Thứ Năm
井戸,vocab,5,"井,戸",N/A,N/A,N/A,N/A,いど,いど,Giếng,
亡くす,vocab,8,亡,N/A,N/A,N/A,N/A,なくす,なくす,Mất,
亡くなる,vocab,8,亡,N/A,N/A,N/A,N/A,なくなる,なくなる,Chết,Mất
交ざる,vocab,7,交,N/A,N/A,N/A,N/A,まざる,まざる,Lẫn,Được Trộn
交ぜる,vocab,7,交,N/A,N/A,N/A,N/A,まぜる,まぜる,Trộn,
交互,vocab,26,"交,互",N/A,N/A,N/A,N/A,こうご,こうご,Luân Phiên,
交代,vocab,8,"交,代",N/A,N/A,N/A,N/A,こうたい,こうたい,Thay Phiên,
交差点,vocab,54,"交,差,点",N/A,N/A,N/A,N/A,こうさてん,こうさてん,Giao Lộ,
交換,vocab,49,"交,換",N/A,N/A,N/A,N/A,こうかん,こうかん,Trao Đổi,
交流,vocab,22,"交,流",N/A,N/A,N/A,N/A,こうりゅう,こうりゅう,Giao Lưu,
交渉,vocab,62,"交,渉",N/A,N/A,N/A,N/A,こうしょう,こうしょう,Thương Lượng,
交番,vocab,22,"交,番",N/A,N/A,N/A,N/A,こうばん,こうばん,Đồn Cảnh Sát,
交通,vocab,17,"交,通",N/A,N/A,N/A,N/A,こうつう,こうつう,Giao Thông,
交配,vocab,54,"交,配",N/A,N/A,N/A,N/A,こうはい,こうはい,Giao Phối,Lai Giống
享ける,vocab,50,享,N/A,N/A,N/A,N/A,うける,うける,Hưởng,
享受,vocab,50,"享,受",N/A,N/A,N/A,N/A,きょうじゅ,きょうじゅ,Hưởng Thụ,
京都,vocab,12,"京,都",N/A,N/A,N/A,N/A,きょうと,きょうと,Kyouto,
人,vocab,1,人,N/A,N/A,N/A,N/A,ひと,ひと,Người,
人々,vocab,2,"人,々",N/A,N/A,N/A,N/A,ひとびと,ひとびと,Người Người,
人力車,vocab,64,"人,力,車",N/A,N/A,N/A,N/A,じんりきしゃ,じんりきしゃ,Xe Kéo,
人参,vocab,30,"人,参",N/A,N/A,N/A,N/A,にんじん,にんじん,Cà Rốt,
人口,vocab,1,"人,口",N/A,N/A,N/A,N/A,じんこう,じんこう,Dân Số,Nhân Khẩu
人工,vocab,10,"人,工",N/A,N/A,N/A,N/A,じんこう,じんこう,Nhân Tạo,
人差し指,vocab,54,"人,差,指",N/A,N/A,N/A,N/A,ひとさしゆび,ひとさしゆび,Ngón Trỏ,
人形,vocab,23,"人,形",N/A,N/A,N/A,N/A,にんぎょう,にんぎょう,Búp Bê,
人情,vocab,20,"人,情",N/A,N/A,N/A,N/A,にんじょう,にんじょう,Tình Người,
人数,vocab,30,"人,数",N/A,N/A,N/A,N/A,にんずう,にんずう,Số Người,
人柄,vocab,53,"人,柄",N/A,N/A,N/A,N/A,ひとがら,ひとがら,Nhân Cách,
人格,vocab,33,"人,格",N/A,N/A,N/A,N/A,じんかく,じんかく,Nhân Cách,
人権,vocab,48,"人,権",N/A,N/A,N/A,N/A,じんけん,じんけん,Nhân Quyền,
人殺し,vocab,26,"人,殺",N/A,N/A,N/A,N/A,ひとごろし,ひとごろし,Giết Người,Kẻ Giết Người
人気,vocab,7,"人,気",N/A,N/A,N/A,N/A,にんき,にんき,Phổ Biến,
人混み,vocab,40,"人,混",N/A,N/A,N/A,N/A,ひとごみ,ひとごみ,Đám Đông,
人物,vocab,10,"人,物",N/A,N/A,N/A,N/A,じんぶつ,じんぶつ,Nhân Vật,
人狼,vocab,55,"人,狼",N/A,N/A,N/A,N/A,じんろう,じんろう,Người Sói,
人生,vocab,5,"人,生",N/A,N/A,N/A,N/A,じんせい,じんせい,Cuộc Đời,
人種,vocab,40,"人,種",N/A,N/A,N/A,N/A,じんしゅ,じんしゅ,Chủng Tộc,
人見知り,vocab,8,"人,見,知",N/A,N/A,N/A,N/A,ひとみしり,ひとみしり,Ngại Người Lạ,Ngại
人質,vocab,21,"人,質",N/A,N/A,N/A,N/A,ひとじち,ひとじち,Con Tin,
人込み,vocab,26,"人,込",N/A,N/A,N/A,N/A,ひとごみ,ひとごみ,Đám Đông,
人造,vocab,21,"人,造",N/A,N/A,N/A,N/A,じんぞう,じんぞう,Nhân Tạo,
人間,vocab,10,"人,間",N/A,N/A,N/A,N/A,にんげん,にんげん,Con Người,"Người, Loài Người"
人類,vocab,40,"人,類",N/A,N/A,N/A,N/A,じんるい,じんるい,Nhân Loại,
今,vocab,3,今,N/A,N/A,N/A,N/A,いま,いま,Bây Giờ,
今回,vocab,3,"今,回",N/A,N/A,N/A,N/A,こんかい,こんかい,Lần Này,
今夜,vocab,15,"今,夜",N/A,N/A,N/A,N/A,こんや,こんや,Đêm Nay,Tối Nay
今年,vocab,8,"今,年",N/A,N/A,N/A,N/A,ことし,ことし,Năm Nay,
今度,vocab,12,"今,度",N/A,N/A,N/A,N/A,こんど,こんど,Lần Này,Lần Tới
今日,vocab,3,"今,日",N/A,N/A,N/A,N/A,きょう,きょう,Hôm Nay,
今晩は,vocab,23,"今,晩",N/A,N/A,N/A,N/A,こんばんは,こんばんは,Chào,Chào Buổi Tối
今更,vocab,38,"今,更",N/A,N/A,N/A,N/A,いまさら,いまさら,Giờ Mới,Đã Muộn
今月,vocab,3,"今,月",N/A,N/A,N/A,N/A,こんげつ,こんげつ,Tháng Này,
今朝,vocab,15,"今,朝",N/A,N/A,N/A,N/A,けさ,けさ,Sáng Nay,
今週,vocab,11,"今,週",N/A,N/A,N/A,N/A,こんしゅう,こんしゅう,Tuần Này,
介入,vocab,62,"介,入",N/A,N/A,N/A,N/A,かいにゅう,かいにゅう,Can Thiệp,
介護,vocab,45,"介,護",N/A,N/A,N/A,N/A,かいご,かいご,Điều Dưỡng,Chăm Sóc
仏,vocab,28,仏,N/A,N/A,N/A,N/A,ほとけ,ほとけ,Phật,
仏像,vocab,28,"仏,像",N/A,N/A,N/A,N/A,ぶつぞう,ぶつぞう,Tượng Phật,
仏壇,vocab,70,"仏,壇",N/A,N/A,N/A,N/A,ぶつだん,ぶつだん,Bàn Thờ,Bàn Thờ Phật
仏教,vocab,28,"仏,教",N/A,N/A,N/A,N/A,ぶっきょう,ぶっきょう,Phật Giáo,
仕上がる,vocab,15,"仕,上",N/A,N/A,N/A,N/A,しあがる,しあがる,Hoàn Thành,
仕上げる,vocab,15,"仕,上",N/A,N/A,N/A,N/A,しあげる,しあげる,Hoàn Thành,
仕事,vocab,15,"仕,事",N/A,N/A,N/A,N/A,しごと,しごと,Công Việc,Việc
仕方,vocab,15,"仕,方",N/A,N/A,N/A,N/A,しかた,しかた,Cách Làm,Phương Pháp
仕舞う,vocab,37,"仕,舞",N/A,N/A,N/A,N/A,しまう,しまう,Cất,
仕草,vocab,18,"仕,草",N/A,N/A,N/A,N/A,しぐさ,しぐさ,Cử Chỉ,Hành Động
他,vocab,20,他,N/A,N/A,N/A,N/A,ほか,"ほか, た",Khác,
他人,vocab,20,"他,人",N/A,N/A,N/A,N/A,たにん,たにん,Người Khác,"Người Ngoài, Người Lạ"
他動詞,vocab,20,"他,動,詞",N/A,N/A,N/A,N/A,たどうし,たどうし,Tha Động Từ,
付き合う,vocab,8,"付,合",N/A,N/A,N/A,N/A,つきあう,つきあう,Hẹn Hò,Đi Cùng
付く,vocab,8,付,N/A,N/A,N/A,N/A,つく,つく,Dính,Bám
付ける,vocab,8,付,N/A,N/A,N/A,N/A,つける,つける,Gắn,
付近,vocab,8,"付,近",N/A,N/A,N/A,N/A,ふきん,ふきん,Lân Cận,Gần
仙台市,vocab,4,"仙,台,市",N/A,N/A,N/A,N/A,せんだいし,せんだいし,Sendaishi,Thành Phố Sendai
代わる,vocab,8,代,N/A,N/A,N/A,N/A,かわる,かわる,Thay Thế,Thay
代弁,vocab,19,"代,弁",N/A,N/A,N/A,N/A,だいべん,だいべん,Thay Mặt,
代表,vocab,19,"代,表",N/A,N/A,N/A,N/A,だいひょう,だいひょう,Đại Biểu,
代金,vocab,8,"代,金",N/A,N/A,N/A,N/A,だいきん,だいきん,Giá,Tiền Hàng
令,vocab,19,令,N/A,N/A,N/A,N/A,れい,れい,Lệnh,
令和時代,vocab,19,"令,和,時,代",N/A,N/A,N/A,N/A,れいわじだい,れいわじだい,Reiwajidai,Thời Đại Reiwa
以上,vocab,15,"以,上",N/A,N/A,N/A,N/A,いじょう,いじょう,Trở Lên,
以下,vocab,15,"以,下",N/A,N/A,N/A,N/A,いか,いか,Trở Xuống,
以外,vocab,15,"以,外",N/A,N/A,N/A,N/A,いがい,いがい,Ngoại Trừ,Ngoài
以後,vocab,15,"以,後",N/A,N/A,N/A,N/A,いご,いご,Từ Giờ,
以降,vocab,30,"以,降",N/A,N/A,N/A,N/A,いこう,いこう,Từ Sau,
仮に,vocab,13,仮,N/A,N/A,N/A,N/A,かりに,かりに,Giả Sử,
仮免,vocab,19,"仮,免",N/A,N/A,N/A,N/A,かりめん,かりめん,GPTT,Giấy Phép Tạm Thời
仮定,vocab,12,"仮,定",N/A,N/A,N/A,N/A,かてい,かてい,Giả Định,
仮説,vocab,22,"仮,説",N/A,N/A,N/A,N/A,かせつ,かせつ,Giả Thuyết,
仮面,vocab,21,"仮,面",N/A,N/A,N/A,N/A,かめん,かめん,Mặt Nạ,
仰ぐ,vocab,30,仰,N/A,N/A,N/A,N/A,あおぐ,あおぐ,Ngước Lên,Kính Trọng
仰る,vocab,30,仰,N/A,N/A,N/A,N/A,おっしゃる,おっしゃる,Nói,
仰向け,vocab,30,"仰,向",N/A,N/A,N/A,N/A,あおむけ,あおむけ,Nằm Ngửa,
仲直り,vocab,17,"仲,直",N/A,N/A,N/A,N/A,なかなおり,なかなおり,Làm Lành,
仲良し,vocab,17,"仲,良",N/A,N/A,N/A,N/A,なかよし,なかよし,Bạn Tốt,
仲裁,vocab,38,"仲,裁",N/A,N/A,N/A,N/A,ちゅうさい,ちゅうさい,Hòa Giải,
仲間,vocab,17,"仲,間",N/A,N/A,N/A,N/A,なかま,なかま,Đồng Đội,Bạn Bè
件,vocab,23,件,N/A,N/A,N/A,N/A,けん,けん,Vụ,Việc
任す,vocab,22,任,N/A,N/A,N/A,N/A,まかす,まかす,Giao Phó,
任せる,vocab,22,任,N/A,N/A,N/A,N/A,まかせる,まかせる,Giao Phó,
任務,vocab,32,"任,務",N/A,N/A,N/A,N/A,にんむ,にんむ,Nhiệm Vụ,
任天堂,vocab,22,"任,天,堂",N/A,N/A,N/A,N/A,にんてんどう,にんてんどう,Nintendou,
任意,vocab,22,"任,意",N/A,N/A,N/A,N/A,にんい,にんい,Tự Nguyện,Không Bắt Buộc
企てる,vocab,15,企,N/A,N/A,N/A,N/A,くわだてる,くわだてる,Toan Tính,
企む,vocab,15,企,N/A,N/A,N/A,N/A,たくらむ,たくらむ,Âm Mưu,
企業,vocab,15,"企,業",N/A,N/A,N/A,N/A,きぎょう,きぎょう,Doanh Nghiệp,
企画,vocab,15,"企,画",N/A,N/A,N/A,N/A,きかく,きかく,Kế Hoạch,
伏せる,vocab,30,伏,N/A,N/A,N/A,N/A,ふせる,ふせる,Nằm Xuống,"Lật Úp, Giấu"
休み,vocab,4,休,N/A,N/A,N/A,N/A,やすみ,やすみ,Nghỉ Ngơi,Ngày Nghỉ
