Thẻ,Loại,Cấp,Thành phần,Giống Kanji,Onyomi,Kunyomi,Nanori,Đọc Chính,Đọc,Nghĩa Chính,Nghĩa Phụ
土下座,vocab,10,"土,下,座",N/A,N/A,N/A,N/A,どげざ,どげざ,Dogeza,
お鍋,vocab,69,鍋,N/A,N/A,N/A,N/A,おなべ,おなべ,Onabe,Lẩu
深呼吸,vocab,32,"深,呼,吸",N/A,N/A,N/A,N/A,しんこきゅう,しんこきゅう,Thở Sâu,
観光地,vocab,40,"観,光,地",N/A,N/A,N/A,N/A,かんこうち,かんこうち,Kankouchi,
観光客,vocab,40,"観,光,客",N/A,N/A,N/A,N/A,かんこうきゃく,かんこうきゃく,Kankoukyaku,
一礼,vocab,19,"一,礼",N/A,N/A,N/A,N/A,いちれい,いちれい,Ichirei,
日本人,vocab,3,"日,本,人",N/A,N/A,N/A,N/A,にほんじん,にほんじん,Người Nhật,
ベトナム人,vocab,1,人,N/A,N/A,N/A,N/A,べとなむじん,べとなむじん,Người Việt,
台詞,vocab,21,"台,詞",N/A,N/A,N/A,N/A,せりふ,せりふ,Serifu,
配信,vocab,54,"配,信",N/A,N/A,N/A,N/A,はいしん,はいしん,Haishin,
負傷,vocab,36,"負,傷",N/A,N/A,N/A,N/A,ふしょう,ふしょう,Fushou,
重傷,vocab,36,"重,傷",N/A,N/A,N/A,N/A,じゅうしょう,じゅうしょう,Trọng Thương,Thương Nặng
軽傷,vocab,36,"軽,傷",N/A,N/A,N/A,N/A,けいしょう,けいしょう,Thương Nhẹ,
ハロン湾,vocab,64,湾,N/A,N/A,N/A,N/A,はろんわん,はろんわん,Vịnh Hạ Long,
ご利益,vocab,47,"利,益",N/A,N/A,N/A,N/A,ごりやく,ごりやく,Goriyaku,
済まない,vocab,14,済,N/A,N/A,N/A,N/A,すまない,すまない,Sumanai,
半端,vocab,63,"半,端",N/A,N/A,N/A,N/A,はんぱ,はんぱ,Hanpa,
貴方,vocab,64,"貴,方",N/A,N/A,N/A,N/A,あなた,あなた,Anata,
貴様,vocab,64,"貴,様",N/A,N/A,N/A,N/A,きさま,きさま,Kisama,
一般人,vocab,55,"一,般,人",N/A,N/A,N/A,N/A,いっぱんじん,いっぱんじん,Người Bình Thường,
鳥居,vocab,13,"鳥,居",N/A,N/A,N/A,N/A,とりい,とりい,Torii,
時間割,vocab,25,"時,間,割",N/A,N/A,N/A,N/A,じかんわり,じかんわり,Thời Gian Biểu,
耳鼻科,vocab,6,"耳,鼻,科",N/A,N/A,N/A,N/A,じびか,じびか,Jibika,
助詞,vocab,20,"助,詞",N/A,N/A,N/A,N/A,じょし,じょし,Trợ Từ,Joshi
開幕,vocab,36,"開,幕",N/A,N/A,N/A,N/A,かいまく,かいまく,Khai Mạc,
爪先,vocab,29,"爪,先",N/A,N/A,N/A,N/A,つまさき,つまさき,Mũi Chân,
鳥肌が立つ,vocab,13,"鳥,肌,立",N/A,N/A,N/A,N/A,とりはだがたつ,とりはだがたつ,Nổi Da Gà,
歯茎,vocab,50,"歯,茎",N/A,N/A,N/A,N/A,はぐき,はぐき,Lợi,
真顔,vocab,15,"真,顔",N/A,N/A,N/A,N/A,まがお,まがお,Magao,
起動,vocab,18,"起,動",N/A,N/A,N/A,N/A,きどう,きどう,Khởi Động,
理科,vocab,13,"理,科",N/A,N/A,N/A,N/A,りか,りか,Rika,
学科,vocab,6,"学,科",N/A,N/A,N/A,N/A,がっか,がっか,Gakka,
物理,vocab,13,"物,理",N/A,N/A,N/A,N/A,ぶつり,ぶつり,Vật Lý,
泡立てる,vocab,49,"泡,立",N/A,N/A,N/A,N/A,あわだてる,あわだてる,Đánh Bọt,
泡立つ,vocab,49,"泡,立",N/A,N/A,N/A,N/A,あわだつ,あわだつ,Nổi Bọt,
尻取り,vocab,33,"尻,取",N/A,N/A,N/A,N/A,しりとり,しりとり,Shiritori,Nối Từ
